ID,Serving,Preparation_Time,Difficulty,Ingredient,Condiment
7057555,1,60분,아무나,"[주 재료]: 새우, 간장, 물, 청주, 맛술, 매실청, 설탕, 사과, 양파, 대파, 청양고추, 마늘, 생강, 통후추, 다시마",양념 없음
7057554,1,20분,아무나,"[쌈장 재료]: 된장, 고추장, 다진파, 다진마늘, 올리고당, 참기름, 통깨, 맛술",양념 없음
7057553,1,15분,아무나,"[재료]: 파스타면, 훈제오리, 참나물, 올리브오일, 들기름, 다진 마늘, 편 마늘, 페페론치노, 소금, 후추",양념 없음
7057552,1,10분,아무나,"[재료]: 비엔나소시지, 양파, 밥, 달걀","[양념]: 물, 카레가루, 케첩, 불닭소스"
7057551,2,15분,아무나,"[그 외 재료]: 인절미가루, 연유, 팥, 인절미, 아몬드슬라이스",양념 없음
7057550,4,30분,초급,"[재료]: 신김치, 참치캔, 대파, 양파, 설탕, 진간장, 고춧가루, 참기름, 깨",양념 없음
7057549,2,30분,아무나,"[재료]: 오이, 소금, 올리고당, 참치캔, 마요네즈, 와사비, 밥, 통깨, 화이트발사믹, 김밥김",양념 없음
7057548,6 이상,60분,초급,"[재료]: 감자, 삶은달걀, 양파, 크래미, 오이, 소금, 설탕, 마요네즈, 홀그레인머스타드, 꿀",양념 없음
7057547,4,60분,중급,"[재료]: 떡갈비, 떡갈비, 누들떡볶이, 모짜렐라치즈",양념 없음
7057546,1,30분,아무나,"[간장 소스 재료]: 간장, 맛술, 스테비아",양념 없음
7057545,1,30분,아무나,"[스무디 재료]: 양배추, 브로콜리, 아보카도, 레몬즙, 알룰로스, 물",양념 없음
7057544,4,30분,아무나,"[드레싱재료]: 올리브오일, 발사믹식초, 레몬즙, 꿀, 소금, 후추",양념 없음
7057543,2,30분,아무나,"[재료]: 초당옥수수, 물, 파마산치즈가루, 파프리카가루, 파슬리가루",양념 없음
7057542,2,20분,초급,"[양념장 재료]: 설탕, 고춧가루, 간장, 멸치액젓, 다진마늘, 된장, 고추장",양념 없음
7057541,5,30분,아무나,"[재료]: 오이, 콩나물, 파프리카, 소금, 설탕, 식초, 레몬즙, 연겨자, 참치액젓, 매실액",양념 없음
7057540,5,30분,초급,"[재료]: 오이, 설탕, 액젓, 식초, 구운소금, 통깨, 생수, 홍고추",양념 없음
7057539,4,10분,아무나,"[재료]: 가지, 양파, 쪽파, 청양고추, 다진마늘","[양념]: 국간장, 농축 냉면육수, 2배 식초, 매실, 설탕, 맛소금, 통깨"
7057538,4,30분,초급,"[재료]: 오이, 마른미역, 양파, 청양고추, 대파","[양념]: 국간장, 다진마늘, 동치미냉면육수, 식초, 매실액, 통깨, 소금"
7057537,4,30분,아무나,"[ 마늘양파볶음 ▶ 재료 (Ingredients) ]: 마늘, 양파, 홍초, 버터, 굴소스, 깨소금, 후추",양념 없음
7057536,2,30분,초급,"[우거지된장국 ▶ 재료 ]: 우거지, 홍초, 대파, 된장, 쌀뜨물, 동전육수, 마늘",양념 없음
7057535,3,20분,초급,"[ 맑은 감잣국 레시피 ▶ 재료 (Ingredients)]: 감자, 물, 동전육수, 홍초, 대파, 마늘, 양파, 홍게맛간장",양념 없음
7057534,2,30분,초급,"[감자계란말이 레시피]: 감자, 당근, 계란, 소금, 후추, 식용유, 토마토케첩",양념 없음
7057533,2,30분,초급,"[밥없는 김밥 재료]: 두부밥, 부추, 당근, 계란, 액젓, 식용유, 참기름, 깨소금, 굵은소금, 소금",양념 없음
7057532,2,30분,아무나,"[재료(2인분)]: 돼지고기 목살, 감자, 소금, 후추, 설탕",양념 없음
7057531,2,30분,아무나,"[재료]: 신김치, 캔참치, 두부, 대파, 물, 코인육수, 김치국물",양념 없음
7057530,1,10분,아무나,"[재료]: 팽이버섯, 간장, 다진마늘, 전분, 소금, 후추",양념 없음
7057529,2,15분,아무나,"[재료]: 브로콜리, 식초, 굵은소금",양념 없음
7057528,2,30분,아무나,"[재료]: 또띠아, 이탈리안 살라미, 양파, 스위트콘, 모짜렐라치즈, 토마토소스, 파슬리",양념 없음
7057527,3,60분,아무나,"[재료]: 닭, 양파, 감자, 당근, 대파, 물","[양념]: 다진마늘, 다진생강, 설탕, 간장, 맛술, 고추장, 고춧가루, 후추, 카레가루"
7057526,2,15분,초급,"[유자청 비빔국수 양념 재료]: 고추가루, 다시다, 설탕, 간장, 식초, 통깨, 마늘, 유자청, 고추장, 물",양념 없음
7057525,2,20분,초급,"[재료]: 쌀국수, 숙주, 계란, 냉동새우, 건새우, 통마늘, 쪽파, 땅콩분태","[양념]: 범일진간장, 설탕, 액젓, 굴소스, 물, 노두유"
7057524,3,15분,초급,"[드레싱 재료]: 꿀, 연유, 버터, 시나몬가루",양념 없음
7057523,4,10분,아무나,"[재료]: 쑥갓, 소금, 설탕, 마늘, 통깨",양념 없음
